1,THE PEAK (PUBLIC TRANSPORT TERMINUS) - CENTRAL (HONG KONG STATION PUBLIC TRANSPORT INTERCHANGE)
1,SAI KUNG - KOWLOON BAY (TELFORD GARDENS) 
2,CENTRAL (HONG KONG STATION) - OLD PEAK ROAD (CIRCULAR)
2,HUNG HOM (WHAMPOA GARDEN) - TAT CHEE AVENUE (PUBLIC TRANSPORT INTERCHANGE)
2,CENTRAL (HONG KONG STATION) - OLD PEAK ROAD (CIRCULAR) (VIA ADMIRALTY)
2,SAI KUNG(YI CHUN STREET) - KAI HAM (CIRCULAR) (SPECIAL DEPARTURE)
2,SAI KUNG - HO CHUNG 
2,PAK KONG - SAI KUNG  (SHORT WORKING SERVICE)
3,CENTRAL (HONG KONG STATION PUBLIC TRANSPORT INTERCHANGE) - PO SHAN ROAD
3,TSIM SHA TSUI (ASHLEY ROAD) - COSMOPOLITAN ESTATES
3,SAI KUNG - PO LO CHE
3,TSIM SHA TSUI (ASHLEY ROAD) - COSMOPOLITAN ESTATES (VIA HONG KONG WEST KOWLOON STATION)
3,TSIM SHA TSUI (ASHLEY ROAD) - COSMOPOLITAN ESTATES (VIA CHERRY STREET)
4,SAI KUNG - TUI MIN HOI
5,ABERDEEN (NAM NING STREET) - CAUSEWAY BAY (JAFFE ROAD) 
7,SAI KUNG - HOI HA 
8,TSIM SHA TSUI (HANKOW ROAD) - HO MAN TIN ESTATE
8,BAGUIO VILLAS (LOWER) - CENTRAL (EXCHANGE SQUARE)  (NORMAL ROUTE)
8,TSIM SHA TSUI (HANKOW ROAD) - HO MAN TIN ESTATE (VIA HUNG HOM BYPASS)
8,HO MAN TIN (CHUNG HAU STREET) - TSIM SHA TSUI (HANKOW ROAD)
9,CENTRAL (EXCHANGE SQUARE) - BOWEN ROAD (CIRCULAR)
9,BOWEN ROAD - MURRAY ROAD  (SPECIAL SERVICE)
9,LADY MACLEHOSE HOLIDAY VILLAGE - SAI KUNG 
9,TAI MONG TSAI - SAI KUNG  (SPECIAL DEPARTURE)
10,CAUSEWAY BAY (JAFFE ROAD) - CYBERPORT PUBLIC TRANSPORT INTERCHANGE
10,CAUSEWAY BAY (JAFFE ROAD) - CYBERPORT PUBLIC TRANSPORT INTERCHANGE (VIA SCENIC VILLAS)
11,HANG HAU VILLAGE - CHOI HUNG STATION (LUNG CHEUNG ROAD)  (NORMAL ROUTE)
12,KWUN LUNG LAU - SAI YING PUN (CIRCULAR)
12,PAK TIN - MONG KOK EAST STATION 
12,PO LAM - SHUN LEE (CIRCULAR) (SPECIAL DEPARTURES)
12,SAI KUNG - PO LAM 
13,HONG SING GARDEN - KWUN TONG (YUE MAN SQUARE)
13,SAI WAN ESTATE - SAI YING PUN (CIRCULAR)
13,KOWLOON TONG (BROADCAST DRIVE) - HUNG HOM (HUNG LUEN ROAD) 
15,HANG HAU - HONG SING
